id,pres1_jenjang,pres2_jenjang,pres3_jenjang,juara_pres1,juara_pres2,juara_pres3
20559,,,,,,
20562,,,,,,
20563,,,,,,
20565,,,,,,
20566,Kabupaten/Kota,,,,,
20567,,,,,,
20568,Nasional,Nasional,Nasional,,,Medali Perak
20569,Nasional,,,,,
20571,,,,,,
20572,,,,,,
20573,,,,,,
20576,,,,,,
20578,,,,,,
20579,,,,,,
20580,,,,,,
20581,,,,,,
20583,Kabupaten/Kota,,,,,
20584,,,,,,
20585,,,,,,
20586,,,,,,
20588,,,,,,
20589,Nasional,Nasional,Propinsi,,Medali Perunggu,
20590,Nasional,Nasional,Nasional,Medali Perak,,
20592,,,,,,
20593,,,,,,
20595,,,,,,
20597,,,,,,
20599,,,,,,
20600,Nasional,Nasional,Nasional,Juara 3,Juara 3,
20603,,,,,,
20604,Nasional,Kabupaten/Kota,Nasional,Medali Perak,,
20605,Propinsi,Propinsi,Nasional,,,Medali Perunggu
20610,Kabupaten/Kota,Kabupaten/Kota,Kabupaten/Kota,Juara 2,Juara 2,Juara 2
20612,Nasional,Propinsi,Kabupaten/Kota,,,
20614,,,,,,
20617,Internasional,,,,,
20622,Nasional,Nasional,Nasional,Medali Perunggu,,
20623,Internasional,Propinsi,Nasional,Medali Perak,,
20624,Propinsi,,,Juara 2,,
20626,,,,,,
20627,,,,,,
20628,,,,,,
20629,Nasional,Nasional,Nasional,,Medali Emas,Medali Perunggu
20632,,,,,,
20633,Kabupaten/Kota,Internasional,Nasional,Medali Emas,,Medali Perunggu
20634,Nasional,Nasional,Nasional,Medali Perunggu,,
20635,Nasional,Nasional,Nasional,Juara 2,Juara 3,
20636,Nasional,Nasional,Internasional,,,
20638,,,,,,
20640,Nasional,Nasional,Nasional,Medali Perunggu,,Medali Perunggu
20641,Nasional,Nasional,Nasional,Medali Perak,Medali Perunggu,
20643,Kabupaten/Kota,Nasional,Nasional,,Medali Perak,
20644,Nasional,Nasional,Nasional,Medali Perunggu,Medali Perunggu,Medali Perunggu
20645,,,,,,
20646,,,,,,
20648,Nasional,Nasional,Nasional,,,
20649,,,,,,
20651,Kabupaten/Kota,Nasional,Kabupaten/Kota,Juara 1,Medali Perunggu,Juara 2
20653,,,,,,
20654,Kabupaten/Kota,Nasional,Nasional,Juara 1,,
20655,,,,,,
20658,Nasional,Kabupaten/Kota,,,,
20659,,,,,,
20661,Nasional,,,Juara 3,,
20663,,,,,,
20664,Nasional,Propinsi,Kabupaten/Kota,Medali Perunggu,Juara 2,Juara 1
20666,Nasional,Nasional,Nasional,Medali Emas,Medali Perak,Medali Emas
20667,Nasional,Nasional,Nasional,Medali Emas,Medali Perunggu,Medali Perak
20669,Propinsi,Propinsi,,,Juara 1,
20670,Nasional,Nasional,Nasional,Juara 1,Medali Perak,Medali Perak
20671,Nasional,Nasional,Nasional,Juara 2,Juara 2,
20672,,,,,,
20673,,,,,,
20674,Kabupaten/Kota,Propinsi,,Juara 2,Juara 3,
20675,Nasional,Nasional,Propinsi,Juara 1,Juara 2,
20676,Nasional,Nasional,Nasional,Juara 2,Juara 2,Juara 2
20679,,,,,,
20680,,,,,,
20681,Nasional,Nasional,Nasional,,,Juara 2
20683,,,,,,
20685,Nasional,,,,,
20686,,,,,,
20687,Internasional,Nasional,Nasional,,,
20691,Nasional,Internasional,,,Medali Perak,
20692,Nasional,Nasional,Nasional,,Juara 2,Juara 1
20695,Internasional,,,Medali Perak,,
20696,,,,,,
20697,Kabupaten/Kota,,,Juara 3,,
20700,Nasional,Nasional,,,,
20701,Nasional,Propinsi,Nasional,,,
20703,Nasional,Nasional,Nasional,Juara 2,,
20704,,,,,,
20705,,,,,,
20706,,,,,,
20707,Nasional,Nasional,Nasional,Juara 3,,
20708,Nasional,,,,,
20709,,,,,,
20711,,,,,,
20712,,,,,,
20713,,,,,,
20714,Nasional,Nasional,Nasional,Medali Perunggu,Medali Perunggu,Medali Perunggu
20715,Nasional,,,,,
20718,,,,,,
20721,,,,,,
20722,Kabupaten/Kota,Nasional,Propinsi,Juara 1,,
20723,,,,,,
20724,,,,,,
20725,Nasional,Nasional,,Medali Emas,Medali Perak,
20727,,,,,,
20728,Nasional,,,,,
20731,Kabupaten/Kota,Kabupaten/Kota,,Juara 1,,
20732,,,,,,
20733,Nasional,Nasional,Propinsi,Medali Perak,Medali Perak,
20735,Kabupaten/Kota,Propinsi,Nasional,Juara 1,Juara 1,
20736,,,,,,
20737,Nasional,Nasional,Nasional,Juara 1,,
20739,,,,,,
20740,Internasional,Internasional,,,Medali Emas,
20741,,,,,,
20744,Kabupaten/Kota,Propinsi,Kabupaten/Kota,Juara 2,,Juara 1
20746,Kabupaten/Kota,Kabupaten/Kota,Kabupaten/Kota,Juara 3,Juara 3,Juara 3
20747,,,,,,
20749,Propinsi,,,Juara 1,,
20750,Nasional,Propinsi,,,,
20752,Nasional,Nasional,Nasional,Juara 1,Juara 1,Juara 1
20753,Propinsi,Nasional,Nasional,Juara 2,Juara 1,Juara 3
20754,Nasional,Kabupaten/Kota,,,,
20756,,,,,,
20759,,,,,,
20760,Nasional,Nasional,Kabupaten/Kota,Juara 2,,Juara 1
20761,Nasional,Nasional,Nasional,,,
20762,,,,,,
20763,,,,,,
20764,,,,,,
20767,Nasional,Nasional,Nasional,,,Medali Perak
20768,Nasional,Nasional,,Medali Emas,,
20769,,,,,,
20770,Nasional,Nasional,Nasional,,,
20774,,,,,,
20775,,,,,,
20776,,,,,,
20778,,,,,,
20780,,,,,,
20781,,,,,,
20783,Nasional,Nasional,Nasional,,,
20784,Propinsi,Nasional,Nasional,,,
20787,,,,,,
20788,Kabupaten/Kota,,,,,
20789,,,,,,
20790,,,,,,
20793,,,,,,
20794,,,,,,
20795,,,,,,
20797,Propinsi,Kabupaten/Kota,,,,
20800,Nasional,Nasional,Kabupaten/Kota,,,
20802,Propinsi,,,,,
20806,Kabupaten/Kota,,,,,
20807,Internasional,Nasional,Nasional,Medali Perak,,
20808,,,,,,
20810,,,,,,
20814,,,,,,
20816,,,,,,
20817,Nasional,,,,,
20819,Nasional,Nasional,Nasional,Juara 1,,Juara 3
20820,Nasional,,,,,
20821,Nasional,Nasional,Kabupaten/Kota,,,
20822,Propinsi,Propinsi,Nasional,,,
20823,Kabupaten/Kota,,,,,
20825,Kabupaten/Kota,Nasional,Internasional,Juara 1,,
20827,,,,,,
20828,,,,,,
20829,Nasional,Internasional,,,,
20830,Nasional,Internasional,,,,
20831,,,,,,
20833,,,,,,
20834,Kabupaten/Kota,Kabupaten/Kota,,Juara 2,Juara 2,
20835,,,,,,
20837,,,,,,
20838,,,,,,
20839,,,,,,
20841,,,,,,
20843,,,,,,
20844,,,,,,
20845,,,,,,
